course_id,course_title
1070968,Ultimate Investment Banking Course
1113822,Complete GST Course & Certification - Grow Your CA Practice
1006314,Financial Modeling for Business Analysts and Consultants
1210588,Beginner to Pro - Financial Analysis in Excel 2017
1011058,How To Maximize Your Profits Trading Options
192870,Trading Penny Stocks: A Guide for All Levels In 2017
739964,Investing And Trading For Beginners: Mastering Price Charts
403100,Trading Stock Chart Patterns For Immediate; Explosive Gains
476268,Options Trading 3 : Advanced Stock Profit and Success Method
1167710,The Only Investment Strategy You Need For Your Retirement
592338,Forex Trading Secrets of the Pros With Amazon's AWS
975046,Trading Options With Money Flow
742602,Financial Management Risk and Return For Securities
794151,Forex Trading Course: Work Smarter Not Harder Proven Results
1196544,Python Algo Trading: Sentiment Trading with News
504036,Short Selling: Learn To Sell Stocks Before The Fall
719698,Basic Technical Analysis: Learn the structure of the market
564966,The Complete Chart Pattern Trading Course: A Proven Approach
606928,7 Deadly Mistakes of Investing that Will Slash Your Profits!
58977,Financial Statements Made Easy
1242604,Winning Forex Trading with Live Forex Trading Examples
798740,Forex Traders - Create Your First Trading Robot. No Coding!
506568,Create A Business From Home Trading Stocks Today In 2017
1020760,Introduction to Accounting : Mastering Financial Statements
859742,The Complete Ethereum Course: Get .01 Ether In Your Wallet
383414,Beginner to Pro in PowerPoint: Complete PowerPoint Training
353044,Investing 101: The Complete Online Investing Course
447362,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager
831066,Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5)
1266306,Forex Trading: Your Complete Guide to Get Started Like a Pro
1170894,Python Algo Stock Trading: Automate Your Trading!
948974,THE Forex Robot: Incredible ROI (Robot Included)
380970,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet
1217778,Mastering High Probability Iron Condor Options Trading
1246208,The Complete Short Course on Ethereum
434774,Options Trading Stocks: Proven Toolbox For Financial Success
308690,Forex Trading A-Z™ - With LIVE Examples of Forex Trading
888716,Introduction to Finance; Accounting; Modeling and Valuation
321410,Beginner to Pro in Excel: Financial Modeling and Valuation
965832,The Complete Investment Banking Course 2017
648826,The Complete Financial Analyst Course 2017
