course_id,is_paid_id,price,num_subscribers,num_reviews,num_lectures,level_id,content_duration,published_timestamp,subject_id,language_id,rating
1070968,0,200,2147,23,51,0,1.5,2017-01-18,0,0,3.6
1113822,0,75,2792,923,274,0,39.0,2017-03-09,0,0,4.5
1006314,0,45,2174,74,51,1,2.5,2016-12-19,0,0,4.2
1210588,0,95,2451,11,36,0,3.0,2017-05-30,0,0,4.5
1011058,0,200,1276,45,26,1,2.0,2016-12-13,0,0,4.8
192870,0,150,9221,138,25,0,3.0,2014-05-02,0,1,0.0
739964,0,65,1540,178,26,2,1.0,2016-02-21,0,0,4.5
403100,0,95,2917,148,23,0,2.5,2015-01-30,0,0,4.8
476268,0,195,5172,34,38,3,2.5,2015-05-28,0,1,0.0
1167710,0,200,827,14,15,0,1.0,2017-04-18,0,0,3.7
592338,0,200,4284,93,76,0,5.0,2015-09-11,0,0,3.9
975046,0,200,1380,42,17,0,1.0,2016-10-18,0,1,0.0
742602,0,30,3607,21,19,0,1.5,2016-02-03,0,0,3.5
794151,0,195,4061,52,16,0,2.0,2016-03-16,0,0,4.2
1196544,0,200,294,19,42,0,7.0,2017-04-28,0,1,0.0
504036,0,75,2276,106,19,1,1.5,2015-06-22,0,0,4.5
719698,0,20,4919,79,16,2,1.5,2016-01-08,0,1,0.0
564966,0,200,2666,115,52,0,4.0,2015-08-10,0,0,3.8
606928,0,50,5354,24,23,0,1.5,2015-09-21,0,1,0.0
58977,0,95,8095,249,12,2,0.5833333333333334,2013-06-09,0,1,0.0
1242604,0,200,809,3,25,0,2.0,2017-06-06,0,1,0.0
798740,0,200,2295,84,39,0,4.0,2016-05-02,0,0,4.4
506568,0,75,10149,83,16,0,2.0,2015-05-26,0,1,0.0
1020760,0,50,1916,38,23,2,1.0,2016-12-05,0,0,4.5
859742,0,45,2507,333,40,0,2.0,2016-05-30,0,1,0.0
383414,0,150,5786,518,50,0,5.0,2015-01-31,0,0,4.5
353044,0,200,5334,373,42,0,4.5,2014-11-28,0,0,4.3
447362,0,175,4005,237,25,1,2.0,2015-04-12,0,0,4.4
831066,0,150,2877,103,81,0,4.5,2016-04-26,0,1,0.0
1266306,0,140,1026,25,37,2,3.0,2017-06-27,0,0,4.5
1170894,0,95,1165,21,41,2,2.5,2017-05-28,0,1,0.0
948974,0,200,1843,171,35,0,1.5,2016-10-04,0,0,3.6
380970,0,45,8797,449,80,0,6.5,2015-01-09,0,0,4.5
1217778,0,200,1030,11,22,0,2.0,2017-06-01,0,0,4.3
1246208,0,200,1041,12,28,0,1.5,2017-06-11,0,0,3.9
434774,0,195,7884,118,68,1,10.0,2015-05-19,0,0,4.0
308690,0,195,16900,2476,52,2,5.5,2014-12-12,0,0,4.5
888716,0,200,11441,1118,61,0,4.5,2016-06-28,0,0,4.5
321410,0,195,22257,2697,138,0,7.5,2014-11-25,0,0,4.5
965832,0,195,8575,809,110,0,5.5,2016-10-10,0,0,4.5
648826,0,195,24481,2347,174,0,10.0,2016-01-21,0,0,4.6
1035472,0,195,3811,278,103,0,6.5,2017-03-30,0,0,4.5
1154754,0,195,4991,137,79,2,11.5,2017-03-29,0,0,4.3
627540,0,115,7489,1190,25,1,1.0,2015-10-22,0,0,4.4
301442,0,200,20195,1113,227,0,16.0,2014-10-27,0,1,4.7
640100,0,150,10042,594,43,0,3.0,2015-10-22,0,0,4.6
1247394,0,95,367,42,35,0,5.0,2017-06-21,0,1,0.0
260470,0,200,10603,872,42,0,5.5,2014-10-12,0,0,4.4
1214702,0,190,1197,11,46,0,5.0,2017-05-24,0,0,3.7
848664,0,150,2893,65,62,0,2.0,2016-08-10,0,0,4.7
