name,institution,course_url,course_id,rating
Machine Learning,Stanford University,https://www.coursera.org/learn/machine-learning,machine-learning,4.7
Indigenous Canada,University of Alberta,https://www.coursera.org/learn/indigenous-canada,indigenous-canada,4.8
The Science of Well-Being,Yale University,https://www.coursera.org/learn/the-science-of-well-being,the-science-of-well-being,4.9
Technical Support Fundamentals,Google,https://www.coursera.org/learn/technical-support-fundamentals,technical-support-fundamentals,4.8
Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,https://www.coursera.org/learn/google-cbrs-cpi-training,google-cbrs-cpi-training,4.8
Financial Markets,Yale University,https://www.coursera.org/learn/financial-markets-global,financial-markets-global,4.8
Introduction to Psychology,Yale University,https://www.coursera.org/learn/introduction-psychology,introduction-psychology,4.9
Programming for Everybody (Getting Started with Python),University of Michigan,https://www.coursera.org/learn/python,python,4.6
The Bits and Bytes of Computer Networking,Google,https://www.coursera.org/learn/computer-networking,computer-networking,4.6
AI For Everyone,DeepLearning.AI,https://www.coursera.org/learn/ai-for-everyone,ai-for-everyone,4.8
Crash Course on Python,Google,https://www.coursera.org/learn/python-crash-course,python-crash-course,4.7
Psychological First Aid,Johns Hopkins University,https://www.coursera.org/learn/psychological-first-aid,psychological-first-aid,4.8
Neural Networks and Deep Learning,DeepLearning.AI,https://www.coursera.org/learn/neural-networks-deep-learning,neural-networks-deep-learning,4.8
What is Data Science?,IBM,https://www.coursera.org/learn/what-is-datascience,what-is-datascience,4.6
Successful Negotiation: Essential Strategies and Skills,University of Michigan,https://www.coursera.org/learn/negotiation-skills,negotiation-skills,4.8
Fundamentals of Project Planning and Management,University of Virginia,https://www.coursera.org/learn/uva-darden-project-management,uva-darden-project-management,4.8
Project Launch,"University of California, Irvine",https://www.coursera.org/learn/project-management,project-management,4.4
"Brand Management: Aligning Business, Brand and Behaviour",London Business School,https://www.coursera.org/learn/brand,brand,4.9
Writing in the Sciences,Stanford University,https://www.coursera.org/learn/sciwrite,sciwrite,4.9
Stanford Introduction to Food and Health,Stanford University,https://www.coursera.org/learn/food-and-health,food-and-health,4.7
"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,https://www.coursera.org/learn/html-css-javascript-for-web-developers,html-css-javascript-for-web-developers,4.8
Excel Skills for Business: Essentials,Macquarie University,https://www.coursera.org/learn/excel-essentials,excel-essentials,4.9
